,Colorized,Mode,Augmented,MSS,Score,Accuracy,Characters,Errors,SpacesErrors,NonSpaceAccuracy,Source
231,False,nobw,True,fr. 13496,101-0.9538,89.91,4736,478,94,0.08108108108108109,logs/test-htr.log
232,False,nobw,True,fr. 13496,82-0.954,89.29,4736,507,101,0.08572635135135136,logs/test-htr.log
233,False,nobw,True,fr. 13496,87-0.9539,89.67,4736,489,98,0.08255912162162163,logs/test-htr.log
234,False,nobw,True,fr. 13496,91-0.9538,89.99,4736,474,89,0.08129222972972973,logs/test-htr.log
235,False,nobw,True,fr. 13496,92-0.9549,89.74,4736,486,90,0.08361486486486487,logs/test-htr.log
236,False,nobw,True,fr. 13496,93-0.9549,90.16,4736,466,90,0.07939189189189189,logs/test-htr.log
237,False,nobw,True,fr. 13496,96-0.954,89.93,4736,477,97,0.08023648648648649,logs/test-htr.log
238,False,nobw,True,fr. 13496,97-0.9542,90.35,4736,457,90,0.07749155405405406,logs/test-htr.log
239,False,nobw,True,fr. 13496,99-0.9537,90.05,4736,471,94,0.07960304054054054,logs/test-htr.log
240,True,bw,False,fr. 411,52-0.9321,85.95,5176,727,87,0.12364760432766615,logs/test-htr2.log
241,True,bw,False,fr. 411,55-0.9315,86.98,5176,674,85,0.11379443585780526,logs/test-htr2.log
242,True,bw,False,fr. 411,57-0.9318,86.3,5176,709,80,0.1215224111282844,logs/test-htr2.log
243,True,bw,False,fr. 411,60-0.9317,86.73,5176,687,77,0.1178516228748068,logs/test-htr2.log
244,True,bw,False,fr. 411,62-0.9316,86.65,5176,691,82,0.11765842349304483,logs/test-htr2.log
245,True,bw,False,fr. 411,63-0.9325,87.13,5176,666,85,0.11224884080370943,logs/test-htr2.log
246,True,bw,False,fr. 411,65-0.9324,86.57,5176,695,82,0.11843122102009274,logs/test-htr2.log
247,True,bw,False,fr. 411,66-0.9331,86.88,5176,679,88,0.1141808346213292,logs/test-htr2.log
248,True,bw,False,fr. 411,67-0.9325,87.09,5176,668,90,0.1116692426584235,logs/test-htr2.log
249,True,bw,False,fr. 411,68-0.9335,86.48,5176,700,90,0.1178516228748068,logs/test-htr2.log
250,True,bw,True,fr. 411,103-0.9447,88.91,5176,574,74,0.09659969088098919,logs/test-htr2.log
251,True,bw,True,fr. 411,104-0.9447,89.14,5176,562,69,0.09524729520865534,logs/test-htr2.log
252,True,bw,True,fr. 411,84-0.944,88.72,5176,584,70,0.09930448222565688,logs/test-htr2.log
253,True,bw,True,fr. 411,90-0.944,89.14,5176,562,68,0.09544049459041731,logs/test-htr2.log
254,True,bw,True,fr. 411,94-0.9446,89.05,5176,567,69,0.09621329211746522,logs/test-htr2.log
255,True,bw,True,fr. 411,95-0.9451,89.35,5176,551,71,0.09273570324574962,logs/test-htr2.log
256,True,bw,True,fr. 411,96-0.9457,89.55,5176,541,67,0.09157650695517774,logs/test-htr2.log
257,True,bw,True,fr. 411,97-0.9448,88.97,5176,571,72,0.0964064914992272,logs/test-htr2.log
258,True,bw,True,fr. 411,98-0.9441,88.93,5176,573,68,0.09756568778979907,logs/test-htr2.log
259,True,bw,True,fr. 411,99-0.9441,89.32,5176,553,70,0.09331530139103555,logs/test-htr2.log
260,True,nobw,False,fr. 411,66-0.9449,85.76,5176,737,84,0.12615919629057187,logs/test-htr2.log
261,True,nobw,False,fr. 411,68-0.9455,85.68,5176,741,104,0.12306800618238022,logs/test-htr2.log
262,True,nobw,False,fr. 411,74-0.9449,85.97,5176,726,90,0.12287480680061824,logs/test-htr2.log
263,True,nobw,False,fr. 411,75-0.9451,85.45,5176,753,97,0.1267387944358578,logs/test-htr2.log
264,True,nobw,False,fr. 411,80-0.9451,85.65,5176,743,91,0.12596599690880989,logs/test-htr2.log
265,True,nobw,False,fr. 411,84-0.9454,84.76,5176,789,102,0.13272797527047914,logs/test-htr2.log
266,True,nobw,False,fr. 411,85-0.9454,85.14,5176,769,102,0.12886398763523957,logs/test-htr2.log
267,True,nobw,False,fr. 411,86-0.946,85.59,5176,746,91,0.12654559505409582,logs/test-htr2.log
268,True,nobw,False,fr. 411,87-0.9455,85.49,5176,751,96,0.12654559505409582,logs/test-htr2.log
269,True,nobw,False,fr. 411,88-0.9453,85.39,5176,756,101,0.12654559505409582,logs/test-htr2.log
270,True,nobw,True,fr. 411,100-0.954,85.32,5176,760,91,0.12925038639876352,logs/test-htr2.log
271,True,nobw,True,fr. 411,101-0.9538,85.47,5176,752,88,0.12828438948995363,logs/test-htr2.log
272,True,nobw,True,fr. 411,82-0.954,85.36,5176,758,99,0.12731839258114375,logs/test-htr2.log
273,True,nobw,True,fr. 411,87-0.9539,86.3,5176,709,96,0.11843122102009274,logs/test-htr2.log
274,True,nobw,True,fr. 411,91-0.9538,85.3,5176,761,96,0.12847758887171562,logs/test-htr2.log
275,True,nobw,True,fr. 411,92-0.9549,85.26,5176,763,87,0.13060278207109738,logs/test-htr2.log
276,True,nobw,True,fr. 411,93-0.9549,86.34,5176,707,82,0.12074961360123648,logs/test-htr2.log
277,True,nobw,True,fr. 411,96-0.954,85.99,5176,725,86,0.12345440494590418,logs/test-htr2.log
278,True,nobw,True,fr. 411,97-0.9542,86.09,5176,720,86,0.12248840803709428,logs/test-htr2.log
279,True,nobw,True,fr. 411,99-0.9537,85.59,5176,746,93,0.12615919629057187,logs/test-htr2.log
280,True,bw,False,fr. 17229,52-0.9321,85.52,4490,650,181,0.1044543429844098,logs/test-htr2.log
281,True,bw,False,fr. 17229,55-0.9315,86.08,4490,625,189,0.09710467706013363,logs/test-htr2.log
282,True,bw,False,fr. 17229,57-0.9318,86.04,4490,627,189,0.09755011135857461,logs/test-htr2.log
283,True,bw,False,fr. 17229,60-0.9317,86.59,4490,602,183,0.0933184855233853,logs/test-htr2.log
284,True,bw,False,fr. 17229,62-0.9316,86.28,4490,616,173,0.09866369710467705,logs/test-htr2.log
285,True,bw,False,fr. 17229,63-0.9325,85.77,4490,639,196,0.09866369710467705,logs/test-htr2.log
286,True,bw,False,fr. 17229,65-0.9324,86.75,4490,595,176,0.0933184855233853,logs/test-htr2.log
287,True,bw,False,fr. 17229,66-0.9331,86.53,4490,605,182,0.09420935412026726,logs/test-htr2.log
288,True,bw,False,fr. 17229,67-0.9325,85.81,4490,637,193,0.09888641425389755,logs/test-htr2.log
289,True,bw,False,fr. 17229,68-0.9335,86.28,4490,616,185,0.09599109131403118,logs/test-htr2.log
290,True,bw,True,fr. 17229,103-0.9447,88.35,4490,523,172,0.07817371937639198,logs/test-htr2.log
291,True,bw,True,fr. 17229,104-0.9447,88.89,4490,499,165,0.07438752783964366,logs/test-htr2.log
292,True,bw,True,fr. 17229,84-0.944,87.51,4490,561,182,0.0844097995545657,logs/test-htr2.log
293,True,bw,True,fr. 17229,90-0.944,87.88,4490,544,178,0.08151447661469934,logs/test-htr2.log
294,True,bw,True,fr. 17229,94-0.9446,88.53,4490,515,172,0.07639198218262806,logs/test-htr2.log
295,True,bw,True,fr. 17229,95-0.9451,88.29,4490,526,179,0.07728285077951003,logs/test-htr2.log
296,True,bw,True,fr. 17229,96-0.9457,87.91,4490,543,179,0.08106904231625835,logs/test-htr2.log
297,True,bw,True,fr. 17229,97-0.9448,87.84,4490,546,189,0.07951002227171493,logs/test-htr2.log
298,True,bw,True,fr. 17229,98-0.9441,88.37,4490,522,169,0.07861915367483296,logs/test-htr2.log
299,True,bw,True,fr. 17229,99-0.9441,88.42,4490,520,176,0.07661469933184856,logs/test-htr2.log
300,True,nobw,False,fr. 17229,66-0.9449,85.41,4490,655,217,0.09755011135857461,logs/test-htr2.log
301,True,nobw,False,fr. 17229,68-0.9455,85.3,4490,660,212,0.09977728285077951,logs/test-htr2.log
302,True,nobw,False,fr. 17229,74-0.9449,85.19,4490,665,214,0.10044543429844098,logs/test-htr2.log
303,True,nobw,False,fr. 17229,75-0.9451,85.26,4490,662,204,0.10200445434298441,logs/test-htr2.log
304,True,nobw,False,fr. 17229,80-0.9451,84.83,4490,681,210,0.10489977728285078,logs/test-htr2.log
305,True,nobw,False,fr. 17229,84-0.9454,84.43,4490,699,211,0.1086859688195991,logs/test-htr2.log
306,True,nobw,False,fr. 17229,85-0.9454,85.06,4490,671,207,0.10334075723830735,logs/test-htr2.log
307,True,nobw,False,fr. 17229,86-0.946,85.28,4490,661,209,0.10066815144766147,logs/test-htr2.log
308,True,nobw,False,fr. 17229,87-0.9455,85.19,4490,665,197,0.10423162583518931,logs/test-htr2.log
309,True,nobw,False,fr. 17229,88-0.9453,84.97,4490,675,214,0.10267260579064588,logs/test-htr2.log
310,True,nobw,True,fr. 17229,100-0.954,86.35,4490,613,198,0.09242761692650334,logs/test-htr2.log
311,True,nobw,True,fr. 17229,101-0.9538,87.15,4490,577,179,0.08864142538975502,logs/test-htr2.log
312,True,nobw,True,fr. 17229,82-0.954,86.95,4490,586,180,0.09042316258351893,logs/test-htr2.log
313,True,nobw,True,fr. 17229,87-0.9539,87.44,4490,564,191,0.08307349665924277,logs/test-htr2.log
314,True,nobw,True,fr. 17229,91-0.9538,87.39,4490,566,181,0.08574610244988864,logs/test-htr2.log
315,True,nobw,True,fr. 17229,92-0.9549,86.61,4490,601,186,0.09242761692650334,logs/test-htr2.log
316,True,nobw,True,fr. 17229,93-0.9549,87.57,4490,558,176,0.08507795100222718,logs/test-htr2.log
317,True,nobw,True,fr. 17229,96-0.954,87.88,4490,544,178,0.08151447661469934,logs/test-htr2.log
318,True,nobw,True,fr. 17229,97-0.9542,87.53,4490,560,177,0.08530066815144766,logs/test-htr2.log
319,True,nobw,True,fr. 17229,99-0.9537,87.46,4490,563,176,0.08619153674832962,logs/test-htr2.log
320,True,bw,False,fr. 13496,52-0.9321,88.01,4736,568,125,0.09353885135135136,logs/test-htr2.log
321,True,bw,False,fr. 13496,55-0.9315,88.07,4736,565,118,0.09438344594594594,logs/test-htr2.log
322,True,bw,False,fr. 13496,57-0.9318,88.24,4736,557,121,0.09206081081081081,logs/test-htr2.log
323,True,bw,False,fr. 13496,60-0.9317,88.77,4736,532,114,0.08826013513513513,logs/test-htr2.log
324,True,bw,False,fr. 13496,62-0.9316,88.53,4736,543,111,0.09121621621621621,logs/test-htr2.log
325,True,bw,False,fr. 13496,63-0.9325,88.39,4736,550,127,0.08931587837837837,logs/test-htr2.log
326,True,bw,False,fr. 13496,65-0.9324,88.56,4736,542,115,0.09016047297297297,logs/test-htr2.log
327,True,bw,False,fr. 13496,66-0.9331,88.41,4736,549,131,0.08826013513513513,logs/test-htr2.log
328,True,bw,False,fr. 13496,67-0.9325,88.2,4736,559,125,0.09163851351351351,logs/test-htr2.log
